time,o,h,l,c,volume,complete
2025-04-06 21:00:00,1.0896,1.08986,1.0896,1.0898,3,True
2025-04-06 21:05:00,1.08973,1.09003,1.08862,1.08871,133,True
2025-04-06 21:10:00,1.08871,1.08921,1.08842,1.08843,157,True
2025-04-06 21:15:00,1.08843,1.08938,1.08843,1.08938,160,True
2025-04-06 21:20:00,1.08939,1.08949,1.08879,1.08889,182,True
2025-04-06 21:25:00,1.08883,1.08949,1.08873,1.08928,195,True
2025-04-06 21:30:00,1.08936,1.08949,1.08922,1.08949,114,True
2025-04-06 21:35:00,1.08949,1.09116,1.08949,1.09036,119,True
2025-04-06 21:40:00,1.09037,1.09192,1.09036,1.09144,238,True
2025-04-06 21:45:00,1.09162,1.09218,1.09144,1.09207,180,True
2025-04-06 21:50:00,1.0921,1.09274,1.09201,1.09208,115,True
2025-04-06 21:55:00,1.09228,1.09254,1.092,1.092,44,True
2025-04-06 22:00:00,1.092,1.09288,1.09198,1.09263,1005,True
2025-04-06 22:05:00,1.09259,1.09469,1.09242,1.09465,1022,True
2025-04-06 22:10:00,1.09461,1.09555,1.09421,1.09547,883,True
2025-04-06 22:15:00,1.09548,1.09752,1.09523,1.0975,1509,True
2025-04-06 22:20:00,1.09745,1.09956,1.09731,1.0985,1842,True
2025-04-06 22:25:00,1.0985,1.09908,1.0976,1.09844,2106,True
2025-04-06 22:30:00,1.09845,1.09903,1.09742,1.09835,1860,True
2025-04-06 22:35:00,1.09838,1.09908,1.09745,1.09828,1803,True
2025-04-06 22:40:00,1.09827,1.09845,1.0977,1.09813,893,True
2025-04-06 22:45:00,1.09812,1.09854,1.09778,1.09796,1000,True
2025-04-06 22:50:00,1.09795,1.09846,1.09747,1.09812,1240,True
2025-04-06 22:55:00,1.09809,1.09844,1.09773,1.09832,841,True
2025-04-06 23:00:00,1.09836,1.09934,1.09818,1.09885,2207,True
2025-04-06 23:05:00,1.09881,1.09958,1.09843,1.09911,2212,True
2025-04-06 23:10:00,1.09911,1.10009,1.09903,1.0999,1912,True
2025-04-06 23:15:00,1.09992,1.10011,1.09901,1.09916,1359,True
2025-04-06 23:20:00,1.09918,1.10009,1.09913,1.10006,1797,True
2025-04-06 23:25:00,1.10007,1.10024,1.09872,1.09882,2594,True
2025-04-06 23:30:00,1.09881,1.09937,1.09855,1.09857,1856,True
2025-04-06 23:35:00,1.09855,1.09923,1.09839,1.09876,1501,True
2025-04-06 23:40:00,1.09875,1.09992,1.09874,1.09992,1520,True
2025-04-06 23:45:00,1.0999,1.0999,1.09925,1.09951,1694,True
2025-04-06 23:50:00,1.09953,1.10015,1.09918,1.09919,2281,True
2025-04-06 23:55:00,1.09921,1.09938,1.09831,1.09841,2059,True
2025-04-07 00:00:00,1.09843,1.09846,1.09633,1.09659,4033,True
2025-04-07 00:05:00,1.0966,1.09714,1.09601,1.09639,2660,True
2025-04-07 00:10:00,1.09638,1.09645,1.09497,1.09522,2088,True
2025-04-07 00:15:00,1.09522,1.09579,1.0946,1.09493,1770,True
2025-04-07 00:20:00,1.09494,1.09613,1.09487,1.09593,1774,True
2025-04-07 00:25:00,1.09592,1.09632,1.09558,1.09568,1569,True
2025-04-07 00:30:00,1.09566,1.09637,1.09556,1.09596,1672,True
2025-04-07 00:35:00,1.09595,1.09658,1.09567,1.09632,1525,True
2025-04-07 00:40:00,1.09632,1.09647,1.09524,1.09538,2022,True
2025-04-07 00:45:00,1.09538,1.0959,1.09524,1.0953,1992,True
2025-04-07 00:50:00,1.0953,1.09668,1.09519,1.09667,1736,True
2025-04-07 00:55:00,1.09668,1.09686,1.09597,1.09681,1571,True
2025-04-07 01:00:00,1.09681,1.09712,1.09607,1.09611,2090,True
2025-04-07 01:05:00,1.09612,1.09684,1.09595,1.09637,2185,True
2025-04-07 01:10:00,1.09637,1.09664,1.09611,1.09662,1763,True
2025-04-07 01:15:00,1.09661,1.09661,1.09553,1.09633,1882,True
2025-04-07 01:20:00,1.09636,1.09679,1.09599,1.09662,2206,True
2025-04-07 01:25:00,1.09663,1.09744,1.09657,1.09698,2058,True
2025-04-07 01:30:00,1.09695,1.09704,1.09574,1.09627,2020,True
2025-04-07 01:35:00,1.09627,1.09642,1.09564,1.09617,2160,True
2025-04-07 01:40:00,1.09617,1.09763,1.09614,1.09747,1847,True
2025-04-07 01:45:00,1.09748,1.09807,1.09692,1.09775,1914,True
2025-04-07 01:50:00,1.09776,1.09811,1.09758,1.09782,1395,True
2025-04-07 01:55:00,1.09781,1.09781,1.09667,1.09688,1578,True
2025-04-07 02:00:00,1.09688,1.09688,1.09605,1.0962,1241,True
2025-04-07 02:05:00,1.09618,1.09651,1.09576,1.09609,1194,True
2025-04-07 02:10:00,1.09608,1.0961,1.0953,1.09558,1305,True
2025-04-07 02:15:00,1.09559,1.09581,1.09525,1.0953,1125,True
2025-04-07 02:20:00,1.09526,1.09542,1.09477,1.09501,1373,True
2025-04-07 02:25:00,1.09501,1.09503,1.09364,1.09374,1315,True
2025-04-07 02:30:00,1.09371,1.09385,1.09267,1.09268,1515,True
2025-04-07 02:35:00,1.09268,1.09353,1.09268,1.09319,1358,True
2025-04-07 02:40:00,1.09318,1.0932,1.0922,1.09257,937,True
2025-04-07 02:45:00,1.09256,1.09309,1.09208,1.09303,986,True
2025-04-07 02:50:00,1.09303,1.09331,1.09272,1.09323,1077,True
2025-04-07 02:55:00,1.09324,1.09379,1.09286,1.0936,1159,True
2025-04-07 03:00:00,1.0936,1.09389,1.09306,1.09368,1303,True
2025-04-07 03:05:00,1.09371,1.09403,1.09355,1.09371,900,True
2025-04-07 03:10:00,1.09371,1.09392,1.09338,1.09351,774,True
2025-04-07 03:15:00,1.09352,1.09406,1.09349,1.09368,843,True
2025-04-07 03:20:00,1.09368,1.09409,1.09368,1.09391,530,True
2025-04-07 03:25:00,1.0939,1.09436,1.09371,1.09382,589,True
2025-04-07 03:30:00,1.09381,1.09458,1.09381,1.09449,824,True
2025-04-07 03:35:00,1.09448,1.09467,1.09418,1.09456,621,True
2025-04-07 03:40:00,1.09457,1.0947,1.09434,1.09466,544,True
2025-04-07 03:45:00,1.09466,1.09526,1.09466,1.0951,578,True
2025-04-07 03:50:00,1.0951,1.09555,1.09506,1.09538,499,True
2025-04-07 03:55:00,1.09536,1.09536,1.09506,1.0951,470,True
2025-04-07 04:00:00,1.0951,1.0954,1.09505,1.09519,621,True
2025-04-07 04:05:00,1.09519,1.09545,1.09489,1.09544,665,True
2025-04-07 04:10:00,1.09545,1.09626,1.09543,1.09621,692,True
2025-04-07 04:15:00,1.09621,1.09688,1.09608,1.09664,901,True
2025-04-07 04:20:00,1.09663,1.09744,1.09657,1.09742,829,True
2025-04-07 04:25:00,1.09741,1.09765,1.09723,1.0975,730,True
2025-04-07 04:30:00,1.09751,1.09776,1.09713,1.09741,692,True
2025-04-07 04:35:00,1.09742,1.09839,1.09732,1.09821,960,True
2025-04-07 04:40:00,1.0982,1.09846,1.09775,1.09841,906,True
2025-04-07 04:45:00,1.09839,1.09846,1.09817,1.09843,460,True
2025-04-07 04:50:00,1.09843,1.0988,1.09818,1.09872,865,True
2025-04-07 04:55:00,1.09871,1.09885,1.09834,1.09859,690,True
2025-04-07 05:00:00,1.0986,1.09892,1.09828,1.09834,1063,True
2025-04-07 05:05:00,1.09833,1.0989,1.09821,1.09833,1308,True
2025-04-07 05:10:00,1.09832,1.09853,1.09787,1.09834,1254,True
2025-04-07 05:15:00,1.09836,1.09971,1.09828,1.09944,2241,True
2025-04-07 05:20:00,1.09943,1.09949,1.0987,1.09923,2134,True
2025-04-07 05:25:00,1.09924,1.09983,1.09917,1.0995,1423,True
2025-04-07 05:30:00,1.0995,1.09996,1.09948,1.09991,1482,True
2025-04-07 05:35:00,1.0999,1.10018,1.09956,1.09974,1333,True
2025-04-07 05:40:00,1.09974,1.09995,1.09899,1.09912,1275,True
2025-04-07 05:45:00,1.09912,1.09999,1.09908,1.09957,1233,True
2025-04-07 05:50:00,1.09955,1.1009,1.0995,1.10026,1176,True
2025-04-07 05:55:00,1.10029,1.10218,1.10022,1.10194,1755,True
2025-04-07 06:00:00,1.1019,1.10227,1.10145,1.10147,2731,True
2025-04-07 06:05:00,1.10147,1.10158,1.10053,1.10073,2083,True
2025-04-07 06:10:00,1.10075,1.10152,1.10069,1.10092,1898,True
2025-04-07 06:15:00,1.10095,1.10206,1.10072,1.10103,2319,True
2025-04-07 06:20:00,1.10101,1.10168,1.10093,1.10145,2029,True
2025-04-07 06:25:00,1.10145,1.10168,1.10014,1.10022,2297,True
2025-04-07 06:30:00,1.10021,1.10031,1.1,1.1001,1473,True
2025-04-07 06:35:00,1.1001,1.10095,1.09964,1.10092,2003,True
2025-04-07 06:40:00,1.10091,1.10103,1.10022,1.10092,2594,True
2025-04-07 06:45:00,1.10089,1.1024,1.10065,1.10197,2840,True
2025-04-07 06:50:00,1.10198,1.10202,1.09996,1.10017,3094,True
2025-04-07 06:55:00,1.10013,1.10075,1.09947,1.10037,2734,True
2025-04-07 07:00:00,1.10035,1.10207,1.10012,1.10186,4064,True
2025-04-07 07:05:00,1.10183,1.10292,1.10156,1.10278,3768,True
2025-04-07 07:10:00,1.10277,1.10509,1.10248,1.10404,3546,True
2025-04-07 07:15:00,1.10402,1.10415,1.10273,1.10284,2580,True
2025-04-07 07:20:00,1.10282,1.10351,1.10266,1.10325,2701,True
2025-04-07 07:25:00,1.10324,1.10369,1.10255,1.10288,2940,True
2025-04-07 07:30:00,1.1029,1.10292,1.1017,1.10183,3005,True
2025-04-07 07:35:00,1.10182,1.10281,1.10131,1.10278,2755,True
2025-04-07 07:40:00,1.10278,1.10284,1.10177,1.10239,2363,True
2025-04-07 07:45:00,1.10239,1.1024,1.10087,1.10108,2955,True
2025-04-07 07:50:00,1.10108,1.10115,1.1003,1.10044,2240,True
2025-04-07 07:55:00,1.10047,1.10063,1.09987,1.10015,2269,True
2025-04-07 08:00:00,1.10021,1.10228,1.10021,1.1015,2619,True
2025-04-07 08:05:00,1.10149,1.10215,1.10117,1.1017,2650,True
2025-04-07 08:10:00,1.10168,1.10215,1.10058,1.10061,2547,True
2025-04-07 08:15:00,1.10065,1.10111,1.09882,1.09904,2548,True
2025-04-07 08:20:00,1.09904,1.09941,1.09807,1.09836,2628,True
2025-04-07 08:25:00,1.09836,1.0992,1.09713,1.09714,2476,True
2025-04-07 08:30:00,1.09714,1.09827,1.09697,1.09761,3017,True
2025-04-07 08:35:00,1.09762,1.09802,1.09689,1.09802,2703,True
2025-04-07 08:40:00,1.09802,1.09903,1.09797,1.09876,1980,True
2025-04-07 08:45:00,1.09876,1.10035,1.09872,1.10006,2197,True
2025-04-07 08:50:00,1.10005,1.10095,1.09985,1.1009,1886,True
2025-04-07 08:55:00,1.10089,1.10091,1.09923,1.09928,1318,True
2025-04-07 09:00:00,1.09928,1.09962,1.09815,1.09959,2003,True
2025-04-07 09:05:00,1.09958,1.09973,1.09839,1.09878,1825,True
2025-04-07 09:10:00,1.09878,1.09881,1.09728,1.09737,1808,True
2025-04-07 09:15:00,1.09738,1.09788,1.09728,1.09748,1691,True
2025-04-07 09:20:00,1.09751,1.09796,1.09686,1.09695,1932,True
2025-04-07 09:25:00,1.09695,1.09703,1.09587,1.09605,2476,True
2025-04-07 09:30:00,1.09604,1.09669,1.09554,1.09614,2212,True
2025-04-07 09:35:00,1.09615,1.09693,1.09599,1.09642,1886,True
