time,o,h,l,c,volume,complete
2025-04-06 21:00:00,1.08891,1.08891,1.0888,1.0888,3,True
2025-04-06 21:05:00,1.08873,1.08914,1.08806,1.08821,133,True
2025-04-06 21:10:00,1.08822,1.08846,1.08787,1.08825,157,True
2025-04-06 21:15:00,1.08812,1.08872,1.08808,1.08857,160,True
2025-04-06 21:20:00,1.08857,1.08897,1.08807,1.0882,182,True
2025-04-06 21:25:00,1.08818,1.08911,1.08812,1.08892,195,True
2025-04-06 21:30:00,1.08892,1.08924,1.08858,1.08917,114,True
2025-04-06 21:35:00,1.08913,1.09016,1.08896,1.08946,119,True
2025-04-06 21:40:00,1.08946,1.09118,1.08942,1.09054,238,True
2025-04-06 21:45:00,1.09062,1.09174,1.09046,1.09173,180,True
2025-04-06 21:50:00,1.09173,1.0921,1.09118,1.09158,115,True
2025-04-06 21:55:00,1.09165,1.09185,1.09133,1.09136,44,True
2025-04-06 22:00:00,1.09128,1.09273,1.09128,1.09242,1005,True
2025-04-06 22:05:00,1.09241,1.09442,1.09223,1.09441,1022,True
2025-04-06 22:10:00,1.0944,1.09538,1.094,1.09526,883,True
2025-04-06 22:15:00,1.09529,1.09736,1.09499,1.0973,1509,True
2025-04-06 22:20:00,1.09726,1.09937,1.09713,1.0983,1842,True
2025-04-06 22:25:00,1.09829,1.09887,1.09743,1.09824,2106,True
2025-04-06 22:30:00,1.09826,1.09884,1.09725,1.09814,1860,True
2025-04-06 22:35:00,1.09814,1.09891,1.09722,1.0981,1803,True
2025-04-06 22:40:00,1.09808,1.09826,1.09753,1.09794,893,True
2025-04-06 22:45:00,1.09794,1.09838,1.09762,1.09779,1000,True
2025-04-06 22:50:00,1.09779,1.09827,1.09728,1.09792,1240,True
2025-04-06 22:55:00,1.09792,1.09824,1.09751,1.09817,841,True
2025-04-06 23:00:00,1.09817,1.09917,1.09802,1.09865,2207,True
2025-04-06 23:05:00,1.09862,1.09942,1.09825,1.09888,2212,True
2025-04-06 23:10:00,1.0989,1.09995,1.09879,1.09971,1912,True
2025-04-06 23:15:00,1.09971,1.09997,1.09885,1.09898,1359,True
2025-04-06 23:20:00,1.09899,1.09995,1.09894,1.09989,1797,True
2025-04-06 23:25:00,1.09989,1.1001,1.09857,1.09865,2594,True
2025-04-06 23:30:00,1.09866,1.09918,1.09839,1.09839,1856,True
2025-04-06 23:35:00,1.09839,1.09905,1.0982,1.0986,1501,True
2025-04-06 23:40:00,1.0986,1.09973,1.09859,1.09973,1520,True
2025-04-06 23:45:00,1.09973,1.09973,1.0991,1.09935,1694,True
2025-04-06 23:50:00,1.09937,1.1,1.09901,1.09901,2281,True
2025-04-06 23:55:00,1.09902,1.0992,1.09814,1.09824,2059,True
2025-04-07 00:00:00,1.09824,1.0983,1.09616,1.09645,4033,True
2025-04-07 00:05:00,1.09645,1.09699,1.09583,1.0962,2660,True
2025-04-07 00:10:00,1.0962,1.09624,1.0948,1.09508,2088,True
2025-04-07 00:15:00,1.09507,1.09562,1.09446,1.09479,1770,True
2025-04-07 00:20:00,1.0948,1.09597,1.09472,1.09579,1774,True
2025-04-07 00:25:00,1.09578,1.09614,1.09542,1.0955,1569,True
2025-04-07 00:30:00,1.09549,1.0962,1.09541,1.09582,1672,True
2025-04-07 00:35:00,1.0958,1.09643,1.0955,1.09616,1525,True
2025-04-07 00:40:00,1.09615,1.09632,1.09509,1.09523,2022,True
2025-04-07 00:45:00,1.09521,1.09573,1.09508,1.09515,1992,True
2025-04-07 00:50:00,1.09514,1.09652,1.09502,1.09652,1736,True
2025-04-07 00:55:00,1.09652,1.09668,1.09579,1.09663,1571,True
2025-04-07 01:00:00,1.09664,1.09693,1.09591,1.09597,2090,True
2025-04-07 01:05:00,1.09597,1.09667,1.09581,1.09619,2185,True
2025-04-07 01:10:00,1.09618,1.09646,1.09593,1.09646,1763,True
2025-04-07 01:15:00,1.09643,1.09646,1.09535,1.09616,1882,True
