time,o,h,l,c,volume,complete
2025-04-06 21:00:00,1.08926,1.08936,1.08926,1.0893,3,True
2025-04-06 21:05:00,1.08923,1.08957,1.08834,1.08846,133,True
2025-04-06 21:10:00,1.08846,1.08884,1.08814,1.08834,157,True
2025-04-06 21:15:00,1.08828,1.089,1.08827,1.08898,160,True
2025-04-06 21:20:00,1.08898,1.08922,1.08845,1.08854,182,True
2025-04-06 21:25:00,1.0885,1.08922,1.08846,1.0891,195,True
2025-04-06 21:30:00,1.08914,1.08936,1.08892,1.08933,114,True
2025-04-06 21:35:00,1.08931,1.09066,1.08922,1.08991,119,True
2025-04-06 21:40:00,1.08992,1.09154,1.08989,1.09099,238,True
2025-04-06 21:45:00,1.09112,1.09194,1.09095,1.0919,180,True
2025-04-06 21:50:00,1.09192,1.09242,1.0916,1.09183,115,True
2025-04-06 21:55:00,1.09196,1.09216,1.09166,1.09168,44,True
2025-04-06 22:00:00,1.09164,1.0928,1.09164,1.09252,1005,True
2025-04-06 22:05:00,1.0925,1.09455,1.09234,1.09453,1022,True
2025-04-06 22:10:00,1.0945,1.09546,1.0941,1.09536,883,True
2025-04-06 22:15:00,1.09538,1.09744,1.09511,1.0974,1509,True
2025-04-06 22:20:00,1.09736,1.09946,1.09723,1.0984,1842,True
2025-04-06 22:25:00,1.0984,1.09896,1.09752,1.09834,2106,True
2025-04-06 22:30:00,1.09836,1.09894,1.09734,1.09824,1860,True
2025-04-06 22:35:00,1.09826,1.099,1.09734,1.09819,1803,True
2025-04-06 22:40:00,1.09818,1.09836,1.09762,1.09804,893,True
2025-04-06 22:45:00,1.09803,1.09846,1.0977,1.09788,1000,True
2025-04-06 22:50:00,1.09787,1.09836,1.09738,1.09802,1240,True
2025-04-06 22:55:00,1.098,1.09834,1.09762,1.09824,841,True
2025-04-06 23:00:00,1.09826,1.09926,1.09811,1.09875,2207,True
2025-04-06 23:05:00,1.09872,1.0995,1.09834,1.099,2212,True
2025-04-06 23:10:00,1.099,1.10002,1.09891,1.0998,1912,True
2025-04-06 23:15:00,1.09982,1.10004,1.09893,1.09907,1359,True
2025-04-06 23:20:00,1.09908,1.10002,1.09904,1.09998,1797,True
2025-04-06 23:25:00,1.09998,1.10017,1.09864,1.09874,2594,True
2025-04-06 23:30:00,1.09874,1.09927,1.09847,1.09848,1856,True
2025-04-06 23:35:00,1.09847,1.09914,1.0983,1.09868,1501,True
2025-04-06 23:40:00,1.09868,1.09982,1.09866,1.09982,1520,True
2025-04-06 23:45:00,1.09982,1.09982,1.09918,1.09943,1694,True
2025-04-06 23:50:00,1.09945,1.10008,1.0991,1.0991,2281,True
2025-04-06 23:55:00,1.09912,1.09929,1.09823,1.09832,2059,True
2025-04-07 00:00:00,1.09834,1.09837,1.09626,1.09652,4033,True
2025-04-07 00:05:00,1.09652,1.09706,1.09592,1.0963,2660,True
2025-04-07 00:10:00,1.09629,1.09634,1.09488,1.09515,2088,True
2025-04-07 00:15:00,1.09514,1.0957,1.09453,1.09486,1770,True
2025-04-07 00:20:00,1.09487,1.09605,1.0948,1.09586,1774,True
2025-04-07 00:25:00,1.09585,1.09623,1.0955,1.09559,1569,True
2025-04-07 00:30:00,1.09558,1.09628,1.09549,1.09589,1672,True
2025-04-07 00:35:00,1.09588,1.0965,1.09559,1.09624,1525,True
2025-04-07 00:40:00,1.09624,1.09639,1.09516,1.0953,2022,True
2025-04-07 00:45:00,1.0953,1.09581,1.09516,1.09522,1992,True
2025-04-07 00:50:00,1.09522,1.0966,1.0951,1.0966,1736,True
2025-04-07 00:55:00,1.0966,1.09677,1.09588,1.09672,1571,True
2025-04-07 01:00:00,1.09672,1.09702,1.096,1.09604,2090,True
2025-04-07 01:05:00,1.09604,1.09676,1.09588,1.09628,2185,True
2025-04-07 01:10:00,1.09628,1.09655,1.09602,1.09654,1763,True
2025-04-07 01:15:00,1.09652,1.09654,1.09544,1.09624,1882,True
2025-04-07 01:20:00,1.09628,1.0967,1.09591,1.09652,2206,True
2025-04-07 01:25:00,1.09652,1.09735,1.09648,1.0969,2058,True
2025-04-07 01:30:00,1.09688,1.09696,1.09566,1.09618,2020,True
2025-04-07 01:35:00,1.09618,1.09634,1.09555,1.09609,2160,True
2025-04-07 01:40:00,1.0961,1.09754,1.09606,1.09739,1847,True
2025-04-07 01:45:00,1.0974,1.09798,1.09684,1.09766,1914,True
2025-04-07 01:50:00,1.09766,1.09802,1.09751,1.09775,1395,True
2025-04-07 01:55:00,1.09774,1.09774,1.09658,1.0968,1578,True
